type,activity,sex_,injury,fatal_(y/n),species_
Boating,Paddling,F,"No injury to occupant, outrigger canoe and paddle damaged",N,White shark
Unprovoked,Standing,F,Minor injury to left thigh,N,
Invalid,Surfing,M,Injury to left lower leg from surfboard skeg,N,
Unprovoked,Surfing,M,Minor injury to lower leg,N,2 m shark
Provoked,Free diving,M,Lacerations to leg & hand shark PROVOKED INCIDENT,N,"Tiger shark, 3m"
Unprovoked,Kite surfing,M,"No injury, board bitten",N,
Unprovoked,Swimming,M,FATAL,Y,Tiger shark
Unprovoked,Fishing,M,Minor injury to foot. PROVOKED INCIDENT,N,"Lemon shark, 3'"
Unprovoked,Walking,M,Lower left leg bitten,N,"Bull shark, 6'"
Unprovoked,Standing,M,Minor injury to foot,N,
Provoked,Feeding sharks,M,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Grey reef shark
Unprovoked,Boogie boarding,M,Injuries to lower right leg and foot,N,
Unprovoked,Swimming,M,Severe bite to right forearm,N,
Invalid,Fishing,M,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,Invalid incident
Provoked,Feeding sharks,F,Shallow lacerations to finger PROVOKED INCIDENT,N,"Tawny nurse shark, 2m"
Unprovoked,Surfing,M,"Minor injury, marks on board",N,
Questionable,Surfing,M,"No injury, surfboard damaged",N,Shark involvement not confirmed
Unprovoked,Swimming,M,Minor injury to ankle,N,
Unprovoked,Scuba diving,M,"No injury, shark bit scuba gear",N,Tiger shark
Unprovoked,Surfing,M,"No injury, knocked off board by shark",N,
Questionable,Surfing,M,No injury,N,Questionable
Unprovoked,Surfing,M,"No injury, knocked off board by shark",N,3 m shark
Unprovoked,Surfing,M,"No injury, shark struck his leg",N,"White shark, 3.5 m"
Unprovoked,Fishing,M,5-inch cut to hand,N,Tiger shark
Unprovoked,Paddle-skiing,M,"No injury, shark bit hole in ski",N,"White shark, 2.5 m"
Unprovoked,Body boarding,M,Lacerations to right lower leg,N,6' shark
Unprovoked,Swimming,M,Lacerations to foot and ankle,N,Juvenile bull shark
Unprovoked,Swimming,M,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",,
Unprovoked,Surfing,M,Laceration to right thigh,N,
Unprovoked,Surfing,M,Lacerations to legs,N,
Unprovoked,Surfing,M,No Injury. Shark swam away with the surf board,N,Tiger shark
Invalid,Fishing,M,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,Shark involvement not confirmed
Unprovoked,Windsurfing,,"No injury, shark bit board",N,2 m shark
Unprovoked,Swimming,M,"2 puncture wounds to left foot, abrasion to right foot",N,Bull shark
Unprovoked,Surfing,M,Lacerations to left knee & lower leg,N,White shark
Unprovoked,Stand-Up Paddleboarding,M,Injuries to right leg & hand,N,"Tiger shark, 12'"
Unprovoked,Wading,M,Minor injuries to legs,N,Wobbegong shark
Unprovoked,Swimming,M,"No injury, said to have been charged by sharks several times",N,3.5 m shark
Unprovoked,Surfing,M,"Minor injury, ankle grazed",N,1.8 m shark
Unprovoked,Scuba Diving,M, The shark & man simply collided; neither were injured,N,Blacktip shark
Unprovoked,Swimming,F,Laceratons to right leg & foot,N,"Juvenile white shark,  2.7 to 3.2 m"
Provoked,Kayak fishing for sharks,M,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,
Unprovoked,Walking,M,Puncture wounds to leff foot & lower leg,N,"Bull shark, 2 m"
Invalid,Swimming,F,"Collision / No injury, no attack",N,Possibly a wobbegong
Invalid,Cleaning fish,F,Lacerations to 4 toes of right foot,N,"Injury believed caused by an eel, not a shark"
Unprovoked,Snorkeling,M,Injuries to right foot,N,Galapagos shark?
Invalid,Spearfishing,M,"No injury no attack. This is considerd an ""encounter""",N,2m shark
Unprovoked,,M,Injuries to right leg,N,Bull shark
Unprovoked,Spearfishing,M,Injuries to abdomen and arm,N,"Bull shark, 3 m "
Unprovoked,Diving,M,Severe laceration to left forearm,N,Grey reef shark. 2 m
Unprovoked,Free diving,M,"No injury, shark took his swimfin",N,"White shark, 3.5 m"
Unprovoked,Surfing,M,Minor injury to left forearm,N,small shark
Unprovoked,Surfing,M,Foot bitten,N,Wobbegong shark?
Unprovoked,Surfing,F,Severe lacerations to left thigh & knee,N,Tiger shark
Unprovoked,Surfing,F,Foot bitten,N,
Provoked,Fishing / Wading,M,"Minor injury to thigh, PROVOKED INCIDENT",N,Juvenile nurse shark
Unprovoked,Snorkeling,F,Minor injury to arm,N,Nurse shark. 5'
Unprovoked,Scuba Diving,M,Serious injury to leg,N,"Tiger shark, female"
Unprovoked,Scuba diving,F,FATAL,Y,"Tiger shark, female"
Sea Disaster,2 boats capsized,,FATAL,Y,Some drowned but other may have been killed by blue sharks
Unprovoked,Spearfishing,M,Right leg bitten,N,"White shark, 4.6 m"
Unprovoked,Surfing,F,Heel bitten,N,
Unprovoked,Surfing,M,Puncture wounds to feet,N,
Unprovoked,Surfing,M,Puncture wounds to left shoulder,N,2 m shark
Unprovoked,Night bathing,M,FATAL,Y,Tiger shark
Unprovoked,Snorkeling,M,Calf injured,N,Cookiecutter shark
Unprovoked,Surfing,M,Minor injury to foot,N,"Wobbegong shark, 1 m"
Unprovoked,Stand-Up Paddleboarding,M,No injury but shark bit SUP,N,
Unprovoked,Swimming,M,Minor injury to foot,N,
Unprovoked,Surfing ,M,Lacerations to left foot,N,
Unprovoked,Swimming,F,Severe lacerations to left hand & wrist,N,
Unprovoked,Kayaking / Fishing,F,Minor injuries,N,"White shark, 4.5 m"
Unprovoked,Kayaking,M,"No injury, shark shook kayak x3 ",N,2 m shark
Unprovoked,Swimming,M,Puncture wounds & lacerations to foot,N,"Spinner shark, 4 to 5 feet"
Unprovoked,Surfing,M,Lacerations to left hand,N,"Tiger shark, 8 to 10 feet"
Unprovoked,Snorkeling,F,Abrasions,N,8' shark
Invalid,Scuba Diving,M,FATAL,,Death may have been due to drowning
Unprovoked,Surfing,M,Lacerations to lower left leg and foot,N,5' shark
Unprovoked,Surfing,M,"No injury, board damaged by shark",N,"White shark, 3.5 m"
Invalid,Surfing,M,"Lacerations to right ankle, foot & toe",,Questionable
Unprovoked,Surfing,M,Laceration to upper arm,N,4' to 5' shark
Unprovoked,Surfing,M,Minor lacerations to sole of left foot,N,
Unprovoked,Body surfing,M,Lacerations to right foot,N,"Porbeagle, 1.5 m"
Unprovoked,Surfing,M,Lacerations to left foot,N,
Invalid,Scuba Diving,M,"FATAL, but death was probably due to drowning",,
,Fishing,M,Injuries to hands and legs,N,
Boating,Fishing,,"sharks rammed boats, no injury to occupants",N,"White shark, 3.5m"
Unprovoked,Surfing,M,Lacerations to left foot,N,5' to 6' shark
Unprovoked,Swimming,M,Minor injuries,N,
Unprovoked,Surfing,M,Minor lacerations to right hip,N,"White shark, 3 to 3.5m "
Unprovoked,Spearfishing,M,Foot bitten,N,
Unprovoked,"Swimming, poaching abalone",M,FATAL,Y,
Unprovoked,Surfing,M,Injury to ankle & feet,N,
Unprovoked,Swimming,M,Lacerations to abdomen,N,Nurse shark
Unprovoked,Swimming,F,Lacerations to foot,N,
Unprovoked,Surfing,M,Minor injury to right hand,N,
Unprovoked,Surfing,M,"No injury, board bitten",N,"White shark, 3 m"
Unprovoked,Wading,F,Leg injured,N,
Invalid,Swimming,F,Lacerations to left foot,,Shark involvement questionable
Unprovoked,Canoeing,M,"No injury, shark bit canoe",N,
Unprovoked,SUP,M,Not injured by shark but board bitten,N,"White shark, 5' to 7'"
Unprovoked,Spearfishing,M,Hand injured,N,5' shark
Unprovoked,Swimming,M,Minor cuts to sole & toes of left foot,N,Possibly a juvenile blacktip shark
Unprovoked,Snorkeling,F,Bite to right leg/hip,N,"Oceanic whitetip shark, 1.8 to 2 m"
Provoked,Fishing,M,Foot bitten by landed shark PROVOKED INCIDENT,N,4' shark
Boating,Kayaking / Fishing,M,"No injury, bow of kayak bitten",N,"White shark, 10'"
Unprovoked,Skimboarding,M,Lacerations to lower leg,N,
Invalid,Swimming,M,Abrasions and cuts to sole of foot,,A small shark
Unprovoked,,F,Bite to left thigh / minor injury,N,
Unprovoked,Snorkeling,F,Foot & ankle injured,N,
Unprovoked,Spearfishing,M,Severe lacerations to left hand,N,
Unprovoked,Surfing,M,Torso bitten,N,
Unprovoked,,F,Minor injury to hand,N,Sandtiger shark  2'
Unprovoked,Swimming,F,Abrasion to arm from shark's rough skin,N,Blue shark 6'
Unprovoked,,F,Foot bitten,N,"""A small shark"""
Invalid,Swimming,F,Foot injured,,Shark involvement not confirmed
Boating,Kayaking,M,"No injury, kayak bitten",N,"White shark, 11' to 13'"
Unprovoked,SUP,M,"No injury, shark bit paddleboard",N,"White shark, 8' to 10'"
Unprovoked,Surfing,M,Pulled off board by shark but no injury,N,"White shark, 9'"
Unprovoked,Surfing,M,"Minor injury, grazed by shark",N,
Boating,Kayaking,M,"No injury, kayak bitten",N,White shark
Unprovoked,Swimming,M,Lower legs bitten,N,"Bull shark, 4' to 5'"
Provoked,Fishing,M,Hand bitten by hooked shark PROVOKED INCIDENT,N,"Tiger shark, 100 kg"
