type,activity,sex_,injury,fatal_(y/n),species_,shark_specie,activity_group,severity_group,body_group
Boating,Paddling,F,"No injury to occupant, outrigger canoe and paddle damaged",N,White shark,White Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Standing,F,Minor injury to left thigh,N,empty,Unidentify,Other,Minor or No injuries,Lower extremities
Invalid,Surfing,M,Injury to left lower leg from surfboard skeg,N,empty,Unidentify,Board sports,Undetermined,Lower extremities
Unprovoked,Surfing,M,Minor injury to lower leg,N,2 m shark,Unidentify,Board sports,Minor or No injuries,Lower extremities
Provoked,Free diving,M,Lacerations to leg & hand shark PROVOKED INCIDENT,N,"Tiger shark, 3m",Tiger Shark,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,Kite surfing,M,"No injury, board bitten",N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Swimming,M,FATAL,Y,Tiger shark,Tiger Shark,Swimming,Undetermined,Undetermined
Unprovoked,Fishing,M,Minor injury to foot. PROVOKED INCIDENT,N,"Lemon shark, 3'",Lemon Shark,Fishing,Minor or No injuries,Lower extremities
Unprovoked,Walking,M,Lower left leg bitten,N,"Bull shark, 6'",Bull Shark,Wading,Amputations or Lacerations,Lower extremities
Unprovoked,Standing,M,Minor injury to foot,N,empty,Unidentify,Other,Minor or No injuries,Lower extremities
Provoked,Feeding sharks,M,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Grey reef shark,Unidentify,Feeding Sharks,Amputations or Lacerations,Upper extremities
Unprovoked,Boogie boarding,M,Injuries to lower right leg and foot,N,empty,Unidentify,Board sports,Undetermined,Lower extremities
Unprovoked,Swimming,M,Severe bite to right forearm,N,empty,Unidentify,Swimming,Amputations or Lacerations,Upper extremities
Invalid,Fishing,M,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,Invalid incident,Unidentify,Fishing,Undetermined,Undetermined
Provoked,Feeding sharks,F,Shallow lacerations to finger PROVOKED INCIDENT,N,"Tawny nurse shark, 2m",Nurse Shark,Feeding Sharks,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,"Minor injury, marks on board",N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Questionable,Surfing,M,"No injury, surfboard damaged",N,Shark involvement not confirmed,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Swimming,M,Minor injury to ankle,N,empty,Unidentify,Swimming,Minor or No injuries,Lower extremities
Unprovoked,Scuba diving,M,"No injury, shark bit scuba gear",N,Tiger shark,Tiger Shark,Diving,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,"No injury, knocked off board by shark",N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Questionable,Surfing,M,No injury,N,Questionable,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,"No injury, knocked off board by shark",N,3 m shark,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,"No injury, shark struck his leg",N,"White shark, 3.5 m",White Shark,Board sports,Minor or No injuries,Lower extremities
Unprovoked,Fishing,M,5-inch cut to hand,N,Tiger shark,Tiger Shark,Fishing,Undetermined,Upper extremities
Unprovoked,Paddle-skiing,M,"No injury, shark bit hole in ski",N,"White shark, 2.5 m",White Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Body boarding,M,Lacerations to right lower leg,N,6' shark,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,Lacerations to foot and ankle,N,Juvenile bull shark,Bull Shark,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Laceration to right thigh,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Lacerations to legs,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,No Injury. Shark swam away with the surf board,N,Tiger shark,Tiger Shark,Board sports,Minor or No injuries,Undetermined
Invalid,Fishing,M,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,Shark involvement not confirmed,Unidentify,Fishing,Undetermined,Lower extremities
Unprovoked,Windsurfing,,"No injury, shark bit board",N,2 m shark,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Swimming,M,"2 puncture wounds to left foot, abrasion to right foot",N,Bull shark,Bull Shark,Swimming,Undetermined,Lower extremities
Unprovoked,Surfing,M,Lacerations to left knee & lower leg,N,White shark,White Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Stand-Up Paddleboarding,M,Injuries to right leg & hand,N,"Tiger shark, 12'",Tiger Shark,Board sports,Undetermined,Lower extremities
Unprovoked,Wading,M,Minor injuries to legs,N,Wobbegong shark,Wobbegong Shark,Wading,Minor or No injuries,Lower extremities
Unprovoked,Swimming,M,"No injury, said to have been charged by sharks several times",N,3.5 m shark,Unidentify,Swimming,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,"Minor injury, ankle grazed",N,1.8 m shark,Unidentify,Board sports,Minor or No injuries,Lower extremities
Unprovoked,Scuba Diving,M, The shark & man simply collided; neither were injured,N,Blacktip shark,Blacktip Shark,Diving,Undetermined,Undetermined
Unprovoked,Swimming,F,Laceratons to right leg & foot,N,"Juvenile white shark,  2.7 to 3.2 m",White Shark,Swimming,Amputations or Lacerations,Lower extremities
Provoked,Kayak fishing for sharks,M,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,empty,Unidentify,Fishing,Minor or No injuries,Undetermined
Unprovoked,Walking,M,Puncture wounds to leff foot & lower leg,N,"Bull shark, 2 m",Bull Shark,Wading,Undetermined,Lower extremities
Invalid,Swimming,F,"Collision / No injury, no attack",N,Possibly a wobbegong,Wobbegong Shark,Swimming,Minor or No injuries,Undetermined
Invalid,Cleaning fish,F,Lacerations to 4 toes of right foot,N,"Injury believed caused by an eel, not a shark",Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Snorkeling,M,Injuries to right foot,N,Galapagos shark?,Unidentify,Other,Undetermined,Lower extremities
Invalid,Spearfishing,M,"No injury no attack. This is considerd an ""encounter""",N,2m shark,Unidentify,Diving,Minor or No injuries,Undetermined
Unprovoked,empty,M,Injuries to right leg,N,Bull shark,Bull Shark,Other,Undetermined,Lower extremities
Unprovoked,Spearfishing,M,Injuries to abdomen and arm,N,"Bull shark, 3 m ",Bull Shark,Diving,Undetermined,Upper extremities
Unprovoked,Diving,M,Severe laceration to left forearm,N,Grey reef shark. 2 m,Unidentify,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Free diving,M,"No injury, shark took his swimfin",N,"White shark, 3.5 m",White Shark,Diving,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Minor injury to left forearm,N,small shark,Unidentify,Board sports,Minor or No injuries,Upper extremities
Unprovoked,Surfing,M,Foot bitten,N,Wobbegong shark?,Wobbegong Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,F,Severe lacerations to left thigh & knee,N,Tiger shark,Tiger Shark,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,F,Foot bitten,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Provoked,Fishing / Wading,M,"Minor injury to thigh, PROVOKED INCIDENT",N,Juvenile nurse shark,Nurse Shark,Fishing,Minor or No injuries,Lower extremities
Unprovoked,Snorkeling,F,Minor injury to arm,N,Nurse shark. 5',Nurse Shark,Other,Minor or No injuries,Upper extremities
Unprovoked,Scuba Diving,M,Serious injury to leg,N,"Tiger shark, female",Tiger Shark,Diving,Undetermined,Lower extremities
Unprovoked,Scuba diving,F,FATAL,Y,"Tiger shark, female",Tiger Shark,Diving,Undetermined,Undetermined
Sea Disaster,2 boats capsized,,FATAL,Y,Some drowned but other may have been killed by blue sharks,Blue Shark,Boat incincidents,Undetermined,Undetermined
Unprovoked,Spearfishing,M,Right leg bitten,N,"White shark, 4.6 m",White Shark,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,F,Heel bitten,N,empty,Unidentify,Board sports,Amputations or Lacerations,Undetermined
Unprovoked,Surfing,M,Puncture wounds to feet,N,empty,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Surfing,M,Puncture wounds to left shoulder,N,2 m shark,Unidentify,Board sports,Undetermined,Upper extremities
Unprovoked,Night bathing,M,FATAL,Y,Tiger shark,Tiger Shark,Swimming,Undetermined,Undetermined
Unprovoked,Snorkeling,M,Calf injured,N,Cookiecutter shark,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Surfing,M,Minor injury to foot,N,"Wobbegong shark, 1 m",Wobbegong Shark,Board sports,Minor or No injuries,Lower extremities
Unprovoked,Stand-Up Paddleboarding,M,No injury but shark bit SUP,N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,Swimming,M,Minor injury to foot,N,empty,Unidentify,Swimming,Minor or No injuries,Lower extremities
Unprovoked,Surfing ,M,Lacerations to left foot,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,F,Severe lacerations to left hand & wrist,N,empty,Unidentify,Swimming,Amputations or Lacerations,Upper extremities
Unprovoked,Kayaking / Fishing,F,Minor injuries,N,"White shark, 4.5 m",White Shark,Fishing,Minor or No injuries,Undetermined
Unprovoked,Kayaking,M,"No injury, shark shook kayak x3 ",N,2 m shark,Unidentify,Kayaking,Minor or No injuries,Undetermined
Unprovoked,Swimming,M,Puncture wounds & lacerations to foot,N,"Spinner shark, 4 to 5 feet",Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Lacerations to left hand,N,"Tiger shark, 8 to 10 feet",Tiger Shark,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Snorkeling,F,Abrasions,N,8' shark,Unidentify,Other,Undetermined,Undetermined
Invalid,Scuba Diving,M,FATAL,,Death may have been due to drowning,Unidentify,Diving,Undetermined,Undetermined
Unprovoked,Surfing,M,Lacerations to lower left leg and foot,N,5' shark,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,"No injury, board damaged by shark",N,"White shark, 3.5 m",White Shark,Board sports,Minor or No injuries,Undetermined
Invalid,Surfing,M,"Lacerations to right ankle, foot & toe",,Questionable,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Laceration to upper arm,N,4' to 5' shark,Unidentify,Board sports,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,Minor lacerations to sole of left foot,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Body surfing,M,Lacerations to right foot,N,"Porbeagle, 1.5 m",Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Lacerations to left foot,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Invalid,Scuba Diving,M,"FATAL, but death was probably due to drowning",,empty,Unidentify,Diving,Undetermined,Undetermined
,Fishing,M,Injuries to hands and legs,N,empty,Unidentify,Fishing,Undetermined,Lower extremities
Boating,Fishing,,"sharks rammed boats, no injury to occupants",N,"White shark, 3.5m",White Shark,Fishing,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Lacerations to left foot,N,5' to 6' shark,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,Minor injuries,N,empty,Unidentify,Swimming,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Minor lacerations to right hip,N,"White shark, 3 to 3.5m ",White Shark,Board sports,Amputations or Lacerations,Torso
Unprovoked,Spearfishing,M,Foot bitten,N,empty,Unidentify,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,"Swimming, poaching abalone",M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Surfing,M,Injury to ankle & feet,N,empty,Unidentify,Board sports,Undetermined,Lower extremities
Unprovoked,Swimming,M,Lacerations to abdomen,N,Nurse shark,Nurse Shark,Swimming,Amputations or Lacerations,Torso
Unprovoked,Swimming,F,Lacerations to foot,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Surfing,M,Minor injury to right hand,N,empty,Unidentify,Board sports,Minor or No injuries,Upper extremities
Unprovoked,Surfing,M,"No injury, board bitten",N,"White shark, 3 m",White Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Wading,F,Leg injured,N,empty,Unidentify,Wading,Undetermined,Lower extremities
Invalid,Swimming,F,Lacerations to left foot,,Shark involvement questionable,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Canoeing,M,"No injury, shark bit canoe",N,empty,Unidentify,Kayaking,Minor or No injuries,Undetermined
Unprovoked,SUP,M,Not injured by shark but board bitten,N,"White shark, 5' to 7'",White Shark,Other,Amputations or Lacerations,Undetermined
Unprovoked,Spearfishing,M,Hand injured,N,5' shark,Unidentify,Diving,Undetermined,Upper extremities
Unprovoked,Swimming,M,Minor cuts to sole & toes of left foot,N,Possibly a juvenile blacktip shark,Blacktip Shark,Swimming,Undetermined,Lower extremities
Unprovoked,Snorkeling,F,Bite to right leg/hip,N,"Oceanic whitetip shark, 1.8 to 2 m",Whitetip Shark,Other,Amputations or Lacerations,Lower extremities
Provoked,Fishing,M,Foot bitten by landed shark PROVOKED INCIDENT,N,4' shark,Unidentify,Fishing,Amputations or Lacerations,Lower extremities
Boating,Kayaking / Fishing,M,"No injury, bow of kayak bitten",N,"White shark, 10'",White Shark,Fishing,Minor or No injuries,Undetermined
Unprovoked,Skimboarding,M,Lacerations to lower leg,N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Invalid,Swimming,M,Abrasions and cuts to sole of foot,,A small shark,Unidentify,Swimming,Undetermined,Lower extremities
Unprovoked,empty,F,Bite to left thigh / minor injury,N,empty,Unidentify,Other,Minor or No injuries,Lower extremities
Unprovoked,Snorkeling,F,Foot & ankle injured,N,empty,Unidentify,Other,Undetermined,Lower extremities
Unprovoked,Spearfishing,M,Severe lacerations to left hand,N,empty,Unidentify,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Surfing,M,Torso bitten,N,empty,Unidentify,Board sports,Amputations or Lacerations,Torso
Unprovoked,empty,F,Minor injury to hand,N,Sandtiger shark  2',Sand Shark,Other,Minor or No injuries,Upper extremities
Unprovoked,Swimming,F,Abrasion to arm from shark's rough skin,N,Blue shark 6',Blue Shark,Swimming,Undetermined,Upper extremities
Unprovoked,empty,F,Foot bitten,N,"""A small shark""",Unidentify,Other,Amputations or Lacerations,Lower extremities
Invalid,Swimming,F,Foot injured,,Shark involvement not confirmed,Unidentify,Swimming,Undetermined,Lower extremities
Boating,Kayaking,M,"No injury, kayak bitten",N,"White shark, 11' to 13'",White Shark,Kayaking,Minor or No injuries,Undetermined
Unprovoked,SUP,M,"No injury, shark bit paddleboard",N,"White shark, 8' to 10'",White Shark,Other,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,Pulled off board by shark but no injury,N,"White shark, 9'",White Shark,Board sports,Minor or No injuries,Undetermined
Unprovoked,Surfing,M,"Minor injury, grazed by shark",N,empty,Unidentify,Board sports,Minor or No injuries,Undetermined
